grb_name,trigtime,duration,slc_index,pe_duration,pastro,pbat,classification,gbm_catalog,ra_median,ra_err_plus,ra_err_minus,dec_median,dec_err_plus,dec_err_minus,ra_max,dec_max
GRB130803419,2013-08-03 10:02:54.682989+00:00,2.671,,3.62,1.0,1.0,GRB5,GRB,220.95802468841364,1.4857708328276544,1.7946103602538983,-6.848268560374425,1.3974857739673228,1.26405912676608,221.4731494338792,-6.819072248739731
GRB130804023,2013-08-04 00:33:15.628143+00:00,0.03,,0.03,1.0,0.9962507917115806,GRB5,GRB,299.6876381753384,5.004723589593766,6.142728265036226,-65.60745213570979,4.675227629944402,3.940571602395949,302.2565519753715,-65.73807451141307
GRB130808253,2013-08-08 06:04:33.672348+00:00,0.242,,0.19,1.0,0.2021259993941463,GRB5,GRB,168.7359991421148,3.1298895850193844,2.971205790405719,32.194490749595744,3.877555742079295,3.7303044670979935,168.47696419501733,30.80675233547748
GRB130813791,2013-08-13 18:59:13.272963+00:00,0.327,,0.45,0.989637956695023,0.0857956064268206,GRB5,GRB,199.65158556692344,11.748209721445733,11.934719957042091,64.54510239643704,5.695782954155007,5.757726221752627,202.13570951869107,65.24716359503256
GRB130816074,2013-08-16 01:46:55.342987+00:00,4.869,,4.15,0.9999974752266316,,GRB3,GRB,184.3441994463035,6.088952535914814,4.201890304464058,-60.5624852818579,3.31760124274674,2.0032605151222143,182.80014424229017,-61.113965713443605
GRB130828808,2013-08-28 19:23:55.217669+00:00,2.671,,2.69,1.0,0.233737669842856,GRB5,GRB,195.8477187213659,1.8001291984603824,1.6479620474814567,27.332308420874835,1.4578771471259273,1.594980397948124,196.35049725337416,27.671831047284712
GRB130830921,2013-08-30 22:06:34.284625+00:00,6.573,,8.21,1.0,,GRB6,GRB,355.9138202884494,3.009690199687157,5.391427554189761,-53.52470295628366,6.399309063674842,4.223874775611812,359.81234749229395,-55.60039288180892
GRB130905377,2013-09-05 09:02:13.624524+00:00,4.869,,5.11,1.0,0.6836815598042235,GRB3,GRB,278.4133402830306,1.531626647630901,1.0508104868834494,-7.919283994518718,4.99488837640485,2.0602717389552208,277.60234668272864,-8.687182872241223
GRB130906222,2013-09-06 05:19:29.247544+00:00,6.573,,6.54,1.0,0.0058644958436003,GRB5,GRB,195.78212291283424,7.503362387544001,5.454424695520942,-2.962807776912768,6.646512444167016,5.296550388597801,196.92920901195728,-4.047728541573436
GRB130906435,2013-09-06 10:26:25.445949+00:00,3.606,,2.33,1.0,0.2631104074331586,GRB5,GRB,281.4451817153409,7.829069416846892,10.0634745652863,-49.651031236209135,4.571212116021684,4.321218146559957,284.7086536928241,-49.5926185747907
GRB130907760,2013-09-07 18:14:46.574584+00:00,0.804,,0.66,1.0,0.11616987659953,GRB5,GRB,240.70773413975533,4.397749224388946,4.979335593625507,-20.416366546697297,4.160201878197583,4.272101925920698,243.2278795413602,-20.40431721087701
GRB130912358,2013-09-12 08:34:58.562622+00:00,1.466,,1.36,1.0,1.0,GRB6,GRB,42.66696525555512,3.7629128665155847,5.595518504363668,8.18342532088146,2.524035761632014,3.274855275803577,44.30925213434868,9.064628349281396
GRB130919173,2013-09-19 04:09:41.003696+00:00,0.179,,0.17,1.0,0.0027442517089593,GRB5,GRB,301.1291420093567,2.7785792543249386,3.133899432557371,-6.063457476091995,3.5798256710008234,6.172440971869178,300.5103467332437,-4.369199152393767
GRB130919985,2013-09-19 23:38:15.378003+00:00,6.573,,8.21,1.0,0.2787601273144598,GRB6,GRB,242.5069321529548,5.4694988636831,6.170921084150564,-45.95092346622181,3.463081954197804,3.653308759863464,243.29070246391672,-46.71420563580285
GRB130924255,2013-09-24 06:06:47.915815+00:00,6.573,,8.21,0.9999987925797676,0.0789443670727944,GRB5,GRB,33.002659764939786,2.0682841508200767,2.299625356720135,2.416757186409238,2.169506348435463,2.045751416963763,32.822504503412546,1.7755602050442685
