|name        |gcn_name  |time                   |ra      |dec     |error_radius|redshift|        t90|        t90_error|        fluence|        fluence_error|
|GRB131231198|GRB131231A|2013-12-31 04:45:16.004|117.5643|-64.4954|      0.0500| 0.64200|     31.232|          0.57200|    1.51940e-04|          1.19380e-07|
|GRB160503567|GRB160503A|2016-05-03 13:36:31.997| 93.4167|-60.8921|      0.8800|        |     28.672|          1.49300|    2.12690e-06|          5.17070e-08|
|GRB190606080|GRB190606A|2019-06-06 01:55:06.997|200.8654|-23.5771|      0.4700|        |      0.224|          0.03600|    4.01810e-06|          1.34000e-08|
|GRB141028455|GRB141028A|2014-10-28 10:54:46.002| 53.1646|-35.1826|      0.2700| 2.33200|     31.489|          2.42900|    3.47810e-05|          8.91410e-08|
|GRB181231144|GRB181231A|2018-12-31 03:27:43.001| 19.7372| 25.2359|      0.1670|        |     36.865|          3.66500|    4.08730e-06|          4.19420e-08|
|GRB140102887|GRB140102A|2014-01-02 21:17:37.000|341.7548| 58.4415|      0.2400|        |      3.648|          0.09100|    1.78030e-05|          2.41240e-08|
|GRB170808936|GRB170808B|2017-08-08 22:27:43.004|234.1887| 38.1671|      0.7100|        |     17.664|          0.57200|    1.15910e-04|          1.56360e-07|
|GRB180526461|GRB180526A|2018-05-26 11:04:09.002|212.2435|  6.6577|      0.2700|        |     87.000|                 |               |                     |
|GRB130504978|GRB130504C|2013-05-04 23:28:57.000|204.3363| -8.2848|      0.1200|        |     73.217|          2.11100|    1.28720e-04|          2.32340e-07|
|GRB181120265|GRB181120A|2018-11-20 06:21:18.996|137.9583|-58.1429|      0.7110|        |     17.374|          0.79900|    3.54770e-06|          1.65600e-08|
|GRB141207800|GRB141207A|2014-12-07 19:11:20.999|243.3835| 50.8542|      0.2000|        |     20.992|          0.57200|    3.41970e-05|          1.16070e-07|
|GRB110728056|GRB110728A|2011-07-28 01:20:22.001|260.6164| 60.7063|      0.6200|        |      0.704|          0.23100|    3.26680e-07|          6.29920e-08|
|GRB210822388|GRB210822A|2021-08-22 09:18:17.997| 47.7416|-16.8848|      0.5400|        |     60.000|                 |               |                     |
|GRB150510139|GRB150510A|2015-05-10 03:19:53.003|129.5957|-57.7774|      0.3300|        |     51.904|          0.45300|    9.86250e-05|          8.69130e-08|
|GRB140402007|GRB140402A|2014-04-02 00:10:06.001|339.2299| 64.5844|      0.1600|        |      0.320|          0.63000|    2.84280e-07|          2.90080e-08|
|GRB110625881|GRB110625A|2011-06-25 21:08:18.001| 40.2301| -0.1995|      0.1300|        |     26.880|          0.57200|    6.54790e-05|          1.01120e-07|
|GRB160625945|GRB160625B|2016-06-25 22:40:15.997| 51.6901|-19.1632|      0.0700| 1.40600|    453.385|          0.57200|    6.42560e-04|          1.84540e-07|
|GRB140219824|GRB140219A|2014-02-19 19:46:32.002|237.6417| 51.6109|      0.8500|        |     77.056|          2.99600|    2.84490e-06|          4.25400e-08|
|GRB120624933|GRB120624B|2012-06-24 22:23:54.001|250.0545| 62.4129|      0.2100| 2.20000|    271.364|          4.58000|    1.91640e-04|          1.97780e-07|
|GRB160702516|GRB160702A|2016-07-02 12:22:24.004| 13.6812| 49.6630|      0.2100|        |      0.200|                 |               |                     |
|GRB131108862|GRB131108A|2013-11-08 20:41:54.997|233.3115| 51.7538|      0.2200| 2.40000|     18.176|          0.57200|    3.56760e-05|          1.34450e-07|
|GRB170329387|GRB170329A|2017-03-29 09:17:06.000| 97.6952|-49.9039|      0.6000|        |     33.536|          6.14900|    1.10710e-05|          3.84450e-08|
|GRB171011810|GRB171011C|2017-10-11 19:26:26.998|244.9302| 61.3609|      0.8200|        |      0.480|          0.93500|    1.03830e-07|          1.44950e-08|
|GRB200219998|GRB200219C|2020-02-19 23:57:09.999| 33.3455| 22.6294|      0.2400|        |     21.632|          0.73000|    1.74640e-05|          7.99310e-08|
|GRB150210935|GRB150210A|2015-02-10 22:26:24.000|204.8444| 14.3944|      0.4300|        |     31.294|          0.60200|    2.21990e-05|          2.68740e-08|
|GRB120420858|GRB120420B|2012-04-20 20:35:13.004|201.8763| 11.9921|      0.2900|        |    254.913|          4.22200|    4.32520e-05|          2.14210e-07|
|GRB140729026|GRB140729A|2014-07-29 00:36:52.998|307.8641| 78.2519|      0.2600|        |     55.553|          4.38200|    8.05220e-06|          7.27760e-08|
|GRB130702004|GRB130702A|2013-07-02 00:05:22.998| 11.0502| 65.5905|      0.6200| 0.14500|     58.881|          6.19200|    5.71560e-06|          1.20690e-07|
|GRB191202867|GRB191202A|2019-12-02 20:48:50.996| 34.9555| 37.1701|      0.2500|        |     30.721|          0.81000|    1.95050e-05|          3.44990e-08|
|GRB180210517|GRB180210A|2018-02-10 12:24:38.002|108.5329|-43.1449|      0.1200|        |     38.913|          0.72400|    4.41950e-05|          4.82890e-08|
|GRB220107793|GRB220107B|2022-01-07 19:01:33.004| 19.5014| 67.2202|      0.2400|        |     24.833|          0.36200|    2.61070e-05|          4.79900e-08|
|GRB160917456|GRB160917B|2016-09-17 10:56:11.003|356.1307| 80.0711|      3.7300|        |     14.592|          1.44800|    5.35550e-06|          2.52660e-08|
|GRB171120556|GRB171120A|2017-11-20 13:20:02.000|216.6626| 63.2751|      0.2000|        |     44.062|          0.38300|    1.60930e-05|          3.29670e-08|
|GRB120328268|GRB120328B|2012-03-28 06:26:19.997| 33.1186| 57.8287|      1.0000|        |     29.696|          1.05600|    7.50460e-05|          1.66050e-07|
|GRB171210493|GRB171210A|2017-12-10 11:49:14.998| 84.4085|-26.9717|      0.3200|        |    143.107|          2.57300|    8.07640e-05|          9.13400e-08|
|GRB140523129|GRB140523A|2014-05-23 03:05:56.996|201.0228| 36.7374|      0.3800|        |     19.200|          0.36200|    5.11640e-05|          4.48520e-08|
|GRB170522657|GRB170522A|2017-05-22 15:45:35.001|201.9109| 42.4197|      0.2300|        |      7.424|          0.57200|    2.29230e-05|          2.33670e-08|
|GRB140810782|GRB140810A|2014-08-10 18:46:10.001|193.7068| 25.3770|      0.0700|        |     81.665|          0.57200|    1.09700e-04|          6.89580e-08|
|GRB130427324|GRB130427A|2013-04-27 07:47:06.000|206.4047| 72.5056|      0.0400| 0.34000|    138.242|          3.23800|    2.46200e-03|          1.23800e-06|
|GRB130828306|GRB130828A|2013-08-28 07:20:00.004| 50.9003| 31.5837|      0.2900|        |    136.962|          0.92300|    3.89360e-05|          6.07180e-08|
