GRBname     Trig_ID     Trig_time_met  Trig_time_UTC               RA_ground     DEC_ground     Image_position_err  Image_SNR     T90           T90_err       T50           T50_err       Evt_start_sincetrig  Evt_stop_sincetrig  pcode   Trigger_method               XRT_detection  comment                T90_start
----------  ----------  -------------  --------------------------  ------------  -------------  ------------------  ------------  ------------  ------------  ------------  ------------  -------------------  ------------------  ------  ---------------------------  -------------  ---------------------  ---------
GRB241026A  1262764     751675386.432  2024-10-26T22:42:32.007860  2.934245e+02  5.799578e+01   1.253972e+00        2.201443e+01  2.497600e+01  5.814960e+00  9.088000e+00  1.859376e+00  -239                 963                 0.1797  rate trigger                 Yes                                   -0.6
GRB241025A  1262165     751513044.992  2024-10-25T01:36:50.578960  3.337056e+02  8.357738e+01   8.112650e-01        4.100964e+01  1.300880e+02  4.969774e+00  7.018000e+01  4.391614e+00  -240                 962                 0.4688  rate trigger                 Yes                                   -20.932
GRB241010A  1259578     750247548.736  2024-10-10T10:05:14.409700  1.533673e+02  1.154448e+01   1.125426e+00        2.569263e+01  3.085600e+01  1.358358e+00  2.322400e+01  6.616947e-01  -240                 962                 0.8594  rate trigger                 Yes                                   0.228
GRB241006A  1258721     749944352.576  2024-10-06T21:51:58.270480  3.047794e+02  -4.080480e+01  1.830146e+00        1.282740e+01  4.700000e+01  9.848858e+00  1.700000e+01  7.615773e+00  -240                 963                 0.6562  rate trigger                 Yes                                   -3.576
GRB241002A  1257556     749523057.152  2024-10-02T00:50:22.875360  1.409424e+02  3.983111e+01   9.677698e-01        3.187455e+01  4.330400e+01  4.392307e+00  1.445600e+01  2.001668e+00  -239                 963                 0.6875  rate trigger                 Yes                                   -16.988
GRB240912A  1253910     747798433.344  2024-09-12T01:46:39.185300  1.246227e+02  3.399498e+01   1.040790e+00        2.872856e+01  1.149320e+02  8.080113e+00  2.520800e+01  4.753945e-01  -239                 963                 0.8672  rate trigger                 Yes                                   20.6
GRB240905E  1252695     747253597.76   2024-09-05T18:26:03.638540  3.457947e+02  3.551276e+01   1.877866e+00        1.236428e+01  1.211560e+02  3.133573e+01  5.106000e+01  1.099174e+01  -240                 962                 0.2227  rate trigger                 Yes                                   0.34
GRB240904A  1252402     747158693.44   2024-09-04T16:04:19.325020  1.364422e+02  -3.051931e+01  1.782557e+00        1.331941e+01  1.262880e+02  1.153029e+01  5.901200e+01  1.243708e+01  -239                 483                 1.0000  rate trigger                 Yes                                   -54.84
GRB240829A  1251252     746596622.528  2024-08-29T03:56:28.451440  1.430706e+02  -1.869538e+01  1.350922e+00        1.979265e+01  4.297600e+01  8.639348e+00  1.876800e+01  2.061207e+00  -240                 963                 0.1523  rate trigger                 No                                    -0.408
GRB240825A  1250617     746294013.888  2024-08-25T15:52:59.832120  3.445701e+02  1.018934e+00   5.486407e-01        7.170741e+01  4.160000e+02  4.800000e+01  1.600000e+01  1.600000e+01  -240                 962                 0.5391  rate trigger                 Yes                                   0.112
GRB240824A  1250282     746154239.552  2024-08-24T01:03:25.505660  2.131767e+02  6.373446e+01   1.363020e+00        1.954216e+01  3.944000e+01  3.427533e+00  2.360400e+01  2.921055e+00  -240                 963                 0.7266  rate trigger                 No                                    0.608
GRB240811A  1248132     745078087.168  2024-08-11T14:07:33.195260  2.263394e+02  2.890127e+01   1.245794e+00        2.222114e+01  6.291200e+01  4.673577e+00  1.454000e+01  2.169892e+00  -239                 963                 0.7188  rate trigger                 Yes                                   -29.348
GRB240809A  1247745     744885063.552  2024-08-09T08:30:29.592500  2.375449e+02  -2.330404e+00  5.253207e-01        7.629778e+01  6.944000e+01  2.071389e+01  9.408000e+00  7.916363e-01  -240                 963                 0.7266  rate trigger                 Yes                                   -2.816
GRB240805B  1246989     744560968.064  2024-08-05T14:28:54.126720  2.542237e+02  1.831703e+01   1.321680e+00        2.042117e+01  6.499600e+01  2.550536e+00  3.030000e+01  1.067251e+00  -239                 1121                0.8594  rate trigger                 Yes                                   3.012
GRB240805A  1246907     744516176.576  2024-08-05T02:02:22.641800  1.909202e+02  -5.360193e+01  7.835277e-01        4.309921e+01  4.024400e+01  6.715023e+00  6.924000e+00  6.192253e-01  -240                 963                 0.3164  rate trigger                 Yes                                   -1.324
GRB240730A  1245636     744018760.0    2024-07-30T07:52:06.099900  3.784302e+01  5.904666e+01   1.918461e+00        1.199223e+01  5.011600e+01  7.963470e+00  2.955600e+01  5.998959e+00  -239                 963                 0.9844  image trigger                Yes                                   -4.056
GRB240727A  1245074     743744808.0    2024-07-27T03:46:14.118700  2.364509e+02  8.611614e+00   1.602475e+00        1.550812e+01  1.778840e+02  3.546310e+01  7.157200e+01  2.373673e+01  -239                 963                 1.0000  image trigger                Yes                                   2.628
GRB240720A  1243868     743127925.12   2024-07-20T00:24:51.280960  9.672127e+01  3.029833e+01   2.778130e+00        7.066202e+00  1.834760e+02  7.147430e+01  8.246800e+01  3.859075e+01  -239                 963                 0.5781  rate trigger                 No                                    0.112
GRB240712A  1242223     742447666.624  2024-07-12T03:27:12.831520  1.223796e+02  -3.709728e+01  2.488589e+00        8.269343e+00  1.278000e+01  2.711059e+00  6.732000e+00  3.548431e+00  -240                 962                 0.9375  rate trigger                 Yes                                   -0.58
GRB240624A  1238732     740901703.68   2024-06-24T06:01:09.993340  1.024727e+02  -6.537435e+00  1.744617e+00        1.373512e+01  5.888000e+00  2.000448e+00  1.536000e+00  7.491008e-01  -240                 962                 0.4961  rate trigger                 No                                    0.128
